,Sec,English,Japanese
0,0,"-You brat, you don't know anything! -That's right!",-ガキ、何も知らない！-そのとおり！
1,75,"If I'm your successor, will I have",私があなたの後継者なら、
2,150,the authority to appoint new CEOs for our subsidiaries?,子会社の新しいCEOを任命する権限はありますか？
3,225,That's great.,それは素晴らしいことです。
4,300,I always thought that a few of the CEOs are underqualified.,私はいつも、CEOの何人かは資格が不足していると思っていました。
5,375,"For instance, those who tend to clash with their employees",たとえば、従業員と衝突する傾向がある人
6,450,"For instance, those who tend to clash with their employees",たとえば、従業員と衝突する傾向がある人
7,525,or have caused the company great damage due to their own ignorance.,または彼ら自身の無知のために会社に大きな損害を与えました。
8,600,or have caused the company great damage due to their own ignorance.,または彼ら自身の無知のために会社に大きな損害を与えました。
9,675,We should fire such CEGs without any hesitation.,そのようなCEGをためらうことなく発射する必要があります。
10,750,all,すべて
11,825,Give me some time though.,でも少し時間をください。
12,900,"My company recently launched an extreme-sports apparel line,",私の会社は最近、エクストリームスポーツのアパレルラインを立ち上げました。
13,975,so it's grown even bigger.,だからそれはさらに大きくなりました。
14,1050,T'll look for a good management specialist. a.,良い管理スペシャリストを探します。a。
